Country,Small Gem Pack Product ID,Small Gem Pack Suggested Price,Medium Gem Pack Product ID,Medium Gem Pack Suggested Price,Note
Ai Cap,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Albania,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Algeria,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Angola,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Antigua va Barbuda,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Argentina,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Armenia,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Aruba,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Azerbaijan,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Ba Lan,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Bahamas,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Bahrain,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Bangladesh,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Belarus,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Belize,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Benin,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Bermuda,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Bolivia,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Bosnia va Herzegovina,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Botswana,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Brazil,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Bulgaria,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Burkina Faso,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Bac Macedonia,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Bi,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Bo Dao Nha,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Cameroon,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Campuchia,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Canada,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Cape Verde,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Chad,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Chile,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Colombia,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Comoros,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Congo - Brazzaville,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Congo - Kinshasa,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Costa Rica,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
